X,Y,Crash_Type,Accident_Datetime,Location,Latitude,Longitude,Posted_Speed,Road_Type,Pedestrian_Age,Pedestrian_Gender,Pedestrian_City_of_Residence,Pedestrian_Zip_Code,Biker_Age,Biker_Gender,Biker_City_of_Residence,Biker_Zip_Code,Pedestrian_Injury_Severity,Pedestrian_to_Hospital,Biker_Injury_Severity,Biker_to_Hospital,ObjectId,Vehicle_Direction_of_Travel
-93.078,44.93,Pedestrian,2019/02/25 15:10:00+00,E JENKS AVE,44.971,-93.076,30,Local or City Street,47,F,SAINT PAUL,551066847,,,,,Possible Injury,No,,,136,Unknown
-93.078,44.956,Pedestrian,2019/02/23 04:40:00+00,W TUSCARORA AVE,44.923,-93.133,,Local or City Street,24,M,WEST SAINT PAUL,551181147,,,,,Suspected Minor Injury,No,,,137,Unknown
-93.136,44.918,Pedestrian,2019/02/19 14:55:00+00,E MARYLAND AVE,44.978,-93.066,30,County State Aid Highway,18,M,SAINT PAUL,55130,,,,,Suspected Minor Injury,Yes,,,138,Unknown
-93.147,44.951,Pedestrian,2019/02/16 00:30:00+00,W UNIVERSITY AVE,44.956,-93.165,10,County State Aid Highway,57,F,ROBBINSDALE,554222020,,,,,Possible Injury,No,,,139,Unknown
-93.066,44.963,Pedestrian,2019/02/16 00:19:00+00,N SIMPSON ST,44.964,-93.164,30,Local or City Street,39,F,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,140,Unknown
-93.126,44.956,Pedestrian,2019/02/07 01:38:00+00,N PASCAL ST,44.956,-93.162,35,Local or City Street,74,F,MINNEAPOLIS,554041034,,,,,,No,,,141,Unknown
-93.132,44.924,Pedestrian,2019/01/28 20:45:00+00,N MARION ST,44.99,-93.11,,Local or City Street,4,F,ST. PAUL,55104,,,,,Suspected Minor Injury,Yes,,,142,Unknown
-93.025,44.978,Bike,2019/01/25 22:56:00+00,W UNIVERSITY AVE,44.964,-93.198,30,County State Aid Highway,,,,,44,M,,,,,,No,143,Unknown
-93.187,44.916,Pedestrian,2019/01/24 20:50:00+00,N DUNLAP ST,44.992,-93.149,,Local or City Street,72,M,SAINT PAUL,551082214,,,,,Suspected Serious Injury,Yes,,,144,Unknown
-93.187,44.916,Pedestrian,2019/01/24 20:50:00+00,N MOORE ST,44.951,-93.184,25,Local or City Street,19,F,SHOREVIEW,55403,,,,,Suspected Minor Injury,Yes,,,145,Unknown
-93.167,44.95,Pedestrian,2019/01/23 21:29:00+00,W 7TH ST,44.905,-93.164,40,State Trunk Highway,16,F,ST. PAUL,55105,,,,,Suspected Minor Injury,Yes,,,146,Unknown
-93.045,44.957,Pedestrian,2019/01/20 20:50:00+00,INNER LA,44.914,-93.19,,All other roads,63,F,SAINT PAUL,551162018,,,,,Suspected Minor Injury,Yes,,,147,Unknown
-93.08,44.95,Pedestrian,2019/01/17 21:45:00+00,N PROSPERITY AVE,44.977,-93.04,35,County State Aid Highway,65,F,SAINT PAUL,551067024,,,,,Possible Injury,Yes,,,148,Unknown
-93.074,44.979,Pedestrian,2019/01/16 18:00:00+00,E 7TH ST,44.952,-93.087,,State Trunk Highway,55,M,SAINT PAUL,551012348,,,,,Suspected Serious Injury,Yes,,,149,Unknown
-93.139,44.934,Pedestrian,2019/01/16 13:10:00+00,N ETNA ST,44.957,-93.042,30,Municipal State Aid Street,15,M,ST PAUL,55106,,,,,Suspected Serious Injury,Yes,,,150,Unknown
-93.126,44.956,Pedestrian,2019/01/15 13:25:00+00,E 3RD ST,44.957,-93.033,35,Municipal State Aid Street,16,M,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,151,Unknown
-93.167,44.983,Pedestrian,2019/01/11 12:15:00+00,E MARYLAND AVE,44.977,-93.089,30,County State Aid Highway,37,M,SAINT PAUL,551031436,,,,,Possible Injury,No,,,152,Unknown
-93.096,44.947,Bike,2019/01/10 22:55:00+00,W NEBRASKA ST,44.986,-93.106,30,Local or City Street,,,,,37,M,ROSEVILLE,551136749,,,Possible Injury,No,153,Unknown
-93.191,44.962,Pedestrian,2019/01/09 23:29:00+00,N DALE ST,44.941,-93.126,30,County State Aid Highway,67,F,SAINT PAUL,551046907,,,,,Suspected Serious Injury,Yes,,,154,Unknown
-93.18,44.963,Pedestrian,2019/01/09 07:48:00+00,N CEDAR ST,44.947,-93.094,30,Local or City Street,37,F,MINNEAPOLIS,554072285,,,,,,No,,,155,Unknown
-93.167,44.959,Pedestrian,2019/01/07 23:40:00+00,E 11TH ST,44.953,-93.094,30,Municipal State Aid Street,58,99,SAINT PAUL,55101,,,,,Possible Injury,Yes,,,156,Unknown
-93.105,44.944,Pedestrian,2019/01/05 21:34:00+00,N ARCADE ST,44.962,-93.066,30,U.S. Trunk Highway,70,M,ST PAUL,55106,,,,,Possible Injury,No,,,157,Unknown
-93.167,44.955,Pedestrian,2019/01/05 18:14:00+00,E MARYLAND AVE,44.977,-93.035,30,County State Aid Highway,23,F,SAINT PAUL,55106,,,,,Suspected Minor Injury,No,,,158,Unknown
-93.126,44.944,Pedestrian,2019/01/04 23:46:00+00,N MCKNIGHT RD,44.947,-93.005,40,County State Aid Highway,19,F,SAINT PAUL,551195034,,,,,Fatal,No,,,159,Unknown
-93.165,44.963,Pedestrian,2019/01/04 23:46:00+00,N MCKNIGHT RD,44.947,-93.005,40,County State Aid Highway,22,F,SAINT PAUL,551195354,,,,,Suspected Serious Injury,Yes,,,160,Unknown
-93.106,44.959,Pedestrian,2019/01/04 22:13:00+00,W UNIVERSITY AVE,44.956,-93.135,10,County State Aid Highway,30,F,SAINT PAUL,551044192,,,,,,No,,,161,Unknown
-93.109,44.956,Bike,2022/08/29 22:07:00+00,ENERGY PARK DR,44.978,-93.204,20,Municipal State Aid Street,,,,,27,F,ST. PAUL,55104,,,Suspected Minor Injury,No,162,Unknown
-93.147,44.959,Bike,2022/08/29 13:28:00+00,W PINEHURST AVE,44.919,-93.187,25,Local or City Street,,,,,24,,SAINT PAUL,551051318,,,Possible Injury,No,163,Unknown
-93.025,44.987,Pedestrian,2022/08/28 04:55:00+00,E 12TH ST,44.954,-93.094,25,Local or City Street,67,M,HAM LAKE,553047334,,,,,Suspected Minor Injury,No,,,164,Unknown
-93.114,44.983,Pedestrian,2022/08/26 21:31:00+00,W SELBY AVE,44.947,-93.116,25,Municipal State Aid Street,29,F,SAINT PAUL,551024668,,,,,Suspected Minor Injury,No,,,165,Unknown
-93.116,44.938,Bike,2022/08/26 16:27:00+00,W WATER ST,44.92,-93.121,25,Local or City Street,,,,,36,M,COON RAPIDS,554482523,,,Suspected Minor Injury,No,166,Unknown
-93.17,44.977,Pedestrian,2022/08/25 14:42:00+00,N ARCADE ST,44.977,-93.066,10,U.S. Trunk Highway,34,F,MAPLEWOOD,55119,,,,,Possible Injury,Yes,,,167,Unknown
-93.066,44.97,Pedestrian,2022/08/24 18:05:00+00,W CONCORDIA AVE,44.951,-93.131,20,Municipal State Aid Street,,M,,,,,,,Suspected Serious Injury,Yes,,,168,Unknown
-93.043,44.976,Bike,2022/08/21 18:45:00+00,HIDDEN FALLS DR,44.908,-93.192,15,Local or City Street,,,,,41,M,MINNEAPOLIS,554064512,,,Possible Injury,Yes,169,Unknown
-93.005,44.933,Pedestrian,2022/08/23 20:00:00+00,839,44.947,-93.128,10,All other roads,44,M,SAINT PAUL,551046632,,,,,Possible Injury,Yes,,,170,Unknown
-93.153,44.979,Pedestrian,2022/08/23 21:27:00+00,W 7TH ST,44.943,-93.104,30,State Trunk Highway,40,F,SAINT PAUL,551031371,,,,,Possible Injury,No,,,171,Unknown
-93.156,44.956,Bike,2022/08/23 18:01:00+00,E LARPENTEUR AVE,44.992,-93.045,30,County State Aid Highway,,,,,13,M,ST PAUL,55106,,,Suspected Serious Injury,Yes,172,Unknown
-93.111,44.956,Pedestrian,2022/08/23 00:00:00+00,S FINN ST,44.942,-93.19,,Local or City Street,22,F,MINNEAPOLIS,554072637,,,,,Suspected Serious Injury,Yes,,,173,Unknown
-93.162,44.954,Pedestrian,2022/08/21 23:59:00+00,W LARPENTEUR AVE,44.992,-93.106,30,County State Aid Highway,57,M,SAINT PAUL,55117,,,,,Suspected Minor Injury,No,,,174,Unknown
-93.051,44.978,Pedestrian,2022/08/21 03:23:00+00,E KELLOGG BLVD,44.95,-93.081,30,Municipal State Aid Street,34,M,HAM LAKE,553045106,,,,,Suspected Minor Injury,Yes,,,175,Unknown
-93.093,44.944,Pedestrian,2022/08/17 20:17:00+00,ESTABROOK DR,44.98,-93.153,15,Local or City Street,3,M,,,,,,,Suspected Minor Injury,Yes,,,176,Unknown
-93.018,44.947,Pedestrian,2022/08/13 15:30:00+00,E MARYLAND AVE,44.977,-93.025,,County State Aid Highway,41,F,SAINT PAUL,551303440,,,,,Possible Injury,Yes,,,177,Unknown
-93.116,44.955,Pedestrian,2022/08/18 02:45:00+00,N ARCADE ST,44.976,-93.066,30,U.S. Trunk Highway,20,F,SAINT PAUL,551193902,,,,,Suspected Minor Injury,Yes,,,178,Unknown
-93.074,44.968,Pedestrian,2022/08/11 18:07:00+00,W 7TH ST,44.943,-93.104,30,State Trunk Highway,49,F,WACONIA,553874557,,,,,Possible Injury,Yes,,,179,Unknown
-93.102,44.929,Bike,2022/08/11 15:45:00+00,N PROSPERITY AVE,44.977,-93.04,30,County State Aid Highway,,,,,55,M,SAINT PAUL,551062731,,,Suspected Minor Injury,No,180,Unknown
-93.147,44.953,Pedestrian,2022/08/10 14:29:00+00,W THOMAS AVE,44.959,-93.127,,Municipal State Aid Street,36,F,SAINT PAUL,551031619,,,,,Suspected Minor Injury,No,,,181,Unknown
-93.096,44.955,Pedestrian,2022/08/10 03:04:00+00,N BATES AVE,44.959,-93.072,30,Local or City Street,,F,,,,,,,Possible Injury,No,,,182,Unknown
-93.158,44.94,Pedestrian,2022/08/09 22:23:00+00,E 7TH ST,44.949,-93.094,30,State Trunk Highway,28,M,INVER GROVE HEIGHTS,550764488,,,,,Suspected Minor Injury,No,,,183,Unknown
-93.126,44.947,Pedestrian,2022/08/08 21:48:00+00,N CHESTNUT ST,44.944,-93.105,,Local or City Street,30,F,BLOOMINGTON,554373333,,,,,Possible Injury,Yes,,,184,Unknown
-93.097,44.948,Bike,2022/08/02 00:03:00+00,165,44.961,-93.025,30,All other roads,,,,,77,M,SAINT PAUL,55106,,,Suspected Minor Injury,No,185,Unknown
-93.074,44.956,Bike,2022/07/31 21:40:00+00,W UNIVERSITY AVE,44.956,-93.159,,County State Aid Highway,,,,,10,M,MINNEAPOLIS,55405,,,Suspected Minor Injury,Yes,186,Unknown
-93.072,44.959,Pedestrian,2022/07/29 00:30:00+00,W UNIVERSITY AVE,44.956,-93.147,,County State Aid Highway,,,,,,,,,Suspected Minor Injury,No,,,187,Unknown
-93.187,44.954,Pedestrian,2022/07/29 00:30:00+00,W UNIVERSITY AVE,44.956,-93.147,,County State Aid Highway,,,,,,,,,Suspected Minor Injury,No,,,188,Unknown
-93.167,44.964,Bike,2022/07/26 21:30:00+00,W UNIVERSITY AVE,44.956,-93.126,30,County State Aid Highway,,,,,35,M,MINNEAPOLIS,554041601,,,Suspected Minor Injury,No,189,Unknown
-93.021,44.955,Pedestrian,2022/07/24 06:20:00+00,RAMP450,44.951,-93.015,30,All other roads,30,M,SAINT PAUL,551065337,,,,,Suspected Minor Injury,Yes,,,190,Unknown
-93.106,44.981,Bike,2022/07/22 12:50:00+00,RAMP479,44.969,-93.164,30,All other roads,,,,,30,M,MINNEAPOLIS,554061717,,,,No,191,Unknown
-93.149,44.913,Pedestrian,2022/07/21 09:45:00+00,-- NOT ON ROADWAY --,44.946,-93.165,,All other roads,47,M,MINNEAPOLIS,554033466,,,,,Possible Injury,Yes,,,192,Unknown
-93.104,44.943,Pedestrian,2022/07/21 09:45:00+00,-- NOT ON ROADWAY --,44.946,-93.165,,All other roads,37,F,SAINT PAUL,551021895,,,,,Suspected Minor Injury,Yes,,,193,Unknown
-93.043,44.978,Bike,2022/07/15 23:45:00+00,N RICE ST,44.979,-93.106,30,County State Aid Highway,,,,,60,M,SAINT PAUL,551061001,,,Suspected Minor Injury,No,194,Unknown
-93.127,44.956,Bike,2022/07/11 18:23:00+00,W MARYLAND AVE,44.977,-93.116,30,County State Aid Highway,,,,,34,M,SAINT PAUL,55117,,,,No,195,Unknown
-93.106,44.976,Bike,2022/07/11 18:23:00+00,W MARYLAND AVE,44.977,-93.116,30,County State Aid Highway,,,,,13,M,SAINT PAUL,55117,,,,No,196,Unknown
-93.149,44.939,Pedestrian,2022/07/11 22:58:00+00,N RICE ST,44.978,-93.106,30,County State Aid Highway,72,M,,,,,,,Suspected Serious Injury,Yes,,,197,Unknown
-93.045,44.975,Pedestrian,2022/07/10 04:30:00+00,N JACKSON ST,44.98,-93.096,25,County State Aid Highway,51,F,ST PAUL,55104,,,,,Suspected Minor Injury,Yes,,,198,Unknown
-93.126,44.956,Bike,2022/07/09 16:59:00+00,N SIBLEY ST,44.948,-93.088,25,Municipal State Aid Street,,,,,52,M,ST. PAUL,55101,,,Possible Injury,Yes,199,Unknown
-93.146,44.927,Bike,2022/07/06 12:30:00+00,S EVA ST,44.939,-93.081,,Municipal State Aid Street,,,,,69,M,MINNEAPOLIS,554064472,,,Suspected Minor Injury,No,200,Unknown
-93.17,44.94,Bike,2022/07/08 12:50:00+00,E CASE AVE,44.97,-93.025,30,Local or City Street,,,,,60,M,MAPLEWOOD,551197177,,,Suspected Serious Injury,Yes,201,Unknown
-93.159,44.927,Pedestrian,2022/07/07 16:23:00+00,S ROBERT ST,44.941,-93.085,30,State Trunk Highway,54,F,LAKEVILLE,550445640,,,,,Suspected Minor Injury,Yes,,,202,Unknown
-93.084,44.977,Pedestrian,2022/07/06 00:32:00+00,E MARYLAND AVE,44.978,-93.043,30,County State Aid Highway,40,M,SAINT PAUL,551063452,,,,,Suspected Minor Injury,Yes,,,203,Unknown
-93.159,44.927,Pedestrian,2022/07/05 04:18:00+00,SHEPARD RD,44.945,-93.087,40,County State Aid Highway,28,M,SAINT PAUL,551045415,,,,,Suspected Serious Injury,Yes,,,204,Unknown
-93.156,44.909,Bike,2022/07/03 01:06:00+00,PHALEN DR,44.982,-93.056,20,Local or City Street,,,,,21,F,SAINT PAUL,551062665,,,Suspected Minor Injury,No,205,Unknown
-93.069,44.972,Bike,2022/07/03 01:04:00+00,W 7TH ST,44.943,-93.104,5,State Trunk Highway,,,,,54,M,SAINT PAUL,551072348,,,Suspected Minor Injury,No,206,Unknown
-93.057,44.96,Pedestrian,2022/07/02 01:55:00+00,W MARYLAND AVE,44.977,-93.109,30,County State Aid Highway,8,M,SAINT PAUL,55106,,,,,Suspected Minor Injury,Yes,,,207,Unknown
-93.143,44.951,Pedestrian,2022/06/29 20:00:00+00,N RICE ST,44.956,-93.106,30,County State Aid Highway,16,F,,,,,,,Suspected Minor Injury,Yes,,,208,Unknown
-93.087,44.937,Bike,2022/06/27 03:25:00+00,N ATLANTIC ST,44.965,-93.048,25,Local or City Street,,,,,48,M,MAHTOMEDI,55115,,,Possible Injury,Yes,209,Unknown
-93.167,44.948,Pedestrian,2022/06/25 04:37:00+00,E MARYLAND AVE,44.978,-93.066,30,County State Aid Highway,39,M,ROSEVILLE,551136731,,,,,Suspected Minor Injury,Yes,,,210,Unknown
-93.197,44.913,Pedestrian,2022/06/25 00:49:00+00,MOUNDS BLVD,44.956,-93.074,,U.S. Trunk Highway,18,M,SAINT PAUL,551064024,,,,,Suspected Minor Injury,No,,,211,Unknown
-93.204,44.967,Pedestrian,2022/06/24 01:32:00+00,E WHEELOCK PKWY,44.991,-93.085,25,Local or City Street,18,M,SAINT PAUL,551193925,,,,,Suspected Minor Injury,Yes,,,212,Unknown
-93.066,44.977,Pedestrian,2022/06/23 13:33:00+00,S WABASHA ST,44.948,-93.097,30,Municipal State Aid Street,61,F,SAINT PAUL,551023075,,,,,,No,,,213,Unknown
-93.182,44.897,Bike,2022/06/21 22:40:00+00,N WALL ST,44.949,-93.085,5,Municipal State Aid Street,,,,,18,M,ST PAUL,55106,,,,No,214,Unknown
-93.085,44.991,Pedestrian,2022/06/21 13:52:00+00,MINNESOTA ST,44.948,-93.093,25,Local or City Street,69,M,SAINT PAUL,551174538,,,,,Suspected Minor Injury,No,,,215,Unknown
-93.035,44.978,Pedestrian,2022/06/21 04:11:00+00,W HIGHLAND PKWY,44.92,-93.167,,Municipal State Aid Street,45,M,SAINT PAUL,551021025,,,,,Suspected Serious Injury,Yes,,,216,Unknown
-93.097,44.948,Bike,2022/06/18 23:30:00+00,N CLARENCE ST,44.992,-93.043,30,Local or City Street,,,,,26,M,SAINT PAUL,551062946,,,Suspected Serious Injury,No,217,Unknown
-93.085,44.949,Bike,2022/06/18 01:25:00+00,W FORD PKWY,44.918,-93.19,10,County State Aid Highway,,,,,15,M,MINNEAPOLIS,55406,,,Suspected Minor Injury,No,218,Unknown
-93.093,44.948,Bike,2022/06/17 23:22:00+00,N FARINGTON ST,44.963,-93.114,,Local or City Street,,,,,33,M,MINNEAPOLIS,554183022,,,Suspected Serious Injury,Yes,219,Unknown
-93.167,44.92,Bike,2022/06/17 19:27:00+00,W RANDOLPH AVE,44.927,-93.139,25,County State Aid Highway,,,,,64,,SAINT PAUL,551024016,,,Possible Injury,No,220,Unknown
-93.043,44.992,Pedestrian,2022/06/16 03:12:00+00,WARNER RD,44.948,-93.069,60,All other roads,44,M,SAINT PAUL,551072624,,,,,Fatal,No,,,221,Unknown
-93.19,44.918,Pedestrian,2022/06/11 17:02:00+00,W THOMAS AVE,44.959,-93.116,25,Municipal State Aid Street,6,M,STPAUL,55103,,,,,Suspected Minor Injury,Yes,,,222,Unknown
-93.114,44.963,Bike,2022/06/11 03:10:00+00,E MINNEHAHA AVE,44.963,-93.025,20,All other roads,,,,,36,M,SAINT PAUL,551064209,,,Possible Injury,No,223,Unknown
-93.139,44.927,Bike,2022/06/10 21:25:00+00,N EUSTIS ST,44.965,-93.203,30,Local or City Street,,,,,47,F,MINNEAPOLIS,554171619,,,Suspected Minor Injury,No,224,Unknown
-93.069,44.948,Pedestrian,2022/06/10 15:38:00+00,W UNIVERSITY AVE,44.956,-93.167,30,County State Aid Highway,100,M,,,,,,,Suspected Minor Injury,No,,,225,Unknown
-93.116,44.959,Bike,2022/06/09 13:15:00+00,E HYACINTH AVE,44.98,-93.066,25,Local or City Street,,,,,15,M,ST. PAUL,55101,,,Possible Injury,No,226,Unknown
-93.025,44.963,Pedestrian,2022/06/09 01:10:00+00,-- NOT ON ROADWAY --,44.984,-93.066,,All other roads,65,F,SAINT PAUL,551063330,,,,,,No,,,227,Unknown
-93.203,44.965,Pedestrian,2022/06/03 18:00:00+00,N RICE ST,44.965,-93.106,10,County State Aid Highway,83,M,MAHTOMEDI,551156833,,,,,Suspected Minor Injury,No,,,228,Unknown
-93.167,44.956,Bike,2022/06/02 22:40:00+00,W ARLINGTON AVE,44.985,-93.106,25,All other roads,,,,,14,M,SAINT PAUL,55107,,,Possible Injury,Yes,229,Unknown
-93.066,44.98,Pedestrian,2022/05/28 07:21:00+00,W MARSHALL AVE,44.948,-93.2,,County State Aid Highway,46,M,MINNEAPOLIS,554121959,,,,,Fatal,Yes,,,230,Unknown
-93.066,44.984,Pedestrian,2022/05/27 21:55:00+00,E SUBURBAN AVE,44.95,-93.025,30,All other roads,31,M,SAINT PAUL,551065710,,,,,Suspected Minor Injury,Yes,,,231,Unknown
-93.106,44.965,Bike,2022/05/24 13:20:00+00,E MARYLAND AVE,44.977,-93.089,,County State Aid Highway,,,,,14,M,ST PAUL,55130,,,,No,232,Unknown
-93.106,44.985,Pedestrian,2022/05/23 22:00:00+00,W JEFFERSON AVE,44.931,-93.167,30,Municipal State Aid Street,29,F,SAINT PAUL,551052050,,,,,Suspected Minor Injury,No,,,233,Unknown
-93.2,44.948,Pedestrian,2022/05/20 05:32:00+00,E 7TH ST,44.955,-93.08,,All other roads,38,M,BLOOMINGTON,55420,,,,,Suspected Minor Injury,No,,,234,Unknown
-93.025,44.95,Bike,2022/05/17 18:20:00+00,E KELLOGG BLVD,44.946,-93.089,30,Municipal State Aid Street,,,,,39,F,SAINT PAUL,551011681,,,Suspected Minor Injury,Yes,235,Unknown
-93.089,44.977,Bike,2022/05/15 09:40:00+00,N RICE ST,44.985,-93.106,,County State Aid Highway,,,,,39,,SAINT PAUL,551174242,,,Possible Injury,No,236,Unknown
-93.167,44.931,Pedestrian,2022/05/14 01:46:00+00,E WILSON AVE,44.954,-93.047,,Municipal State Aid Street,26,F,SAINT PAUL,551303583,,,,,Suspected Serious Injury,Yes,,,237,Unknown
-93.08,44.955,Pedestrian,2022/05/11 01:21:00+00,S ROBERT ST,44.929,-93.081,30,Local or City Street,35,F,BURNSVILLE,553064679,,,,,Suspected Minor Injury,Yes,,,238,Unknown
-93.089,44.946,Pedestrian,2022/05/11 01:21:00+00,S ROBERT ST,44.929,-93.081,30,Local or City Street,8,F,BURNSVILLE,55306,,,,,Suspected Minor Injury,Yes,,,239,Unknown
-93.106,44.985,Bike,2022/05/10 14:01:00+00,N FAIRVIEW AVE,44.942,-93.177,25,Municipal State Aid Street,,,,,,,STPAUL,55104,,,Suspected Minor Injury,No,240,Unknown
-93.047,44.954,Bike,2022/05/08 02:08:00+00,N WEIDE ST,44.972,-93.068,20,Local or City Street,,,,,12,F,SAINT PAUL,55106,,,Possible Injury,Yes,241,Unknown
-93.081,44.929,Bike,2022/05/06 02:40:00+00,N SMITH AVE,44.946,-93.103,25,Municipal State Aid Street,,,,,55,M,SAINT PAUL,551022752,,,Suspected Minor Injury,No,242,Unknown
-93.081,44.929,Bike,2021/05/09 22:45:00+00,796,44.933,-93.177,20,All other roads,,,,,36,M,ST. PAUL,55102,,,,No,243,Unknown
-93.177,44.942,Pedestrian,2022/05/01 00:15:00+00,N MILTON ST,44.951,-93.139,25,Local or City Street,52,M,SAINT PAUL,551175121,,,,,,No,,,244,Unknown
-93.068,44.972,Pedestrian,2022/04/28 21:30:00+00,NORTONIA AVE,44.967,-93.011,20,Local or City Street,13,M,MINNETONKA,55345,,,,,Possible Injury,Yes,,,245,Unknown
-93.103,44.946,Bike,2021/05/09 21:59:00+00,N FOREST ST,44.959,-93.061,20,Municipal State Aid Street,,,,,9,M,ST PAUL,55106,,,Suspected Minor Injury,Yes,246,Unknown
-93.177,44.933,Pedestrian,2019/11/20 21:30:00+00,85,44.966,-93.026,30,All other roads,29,F,MINNEAPOLIS,554183791,,,,,,No,,,247,Unknown
-93.139,44.951,Pedestrian,2022/04/22 05:27:00+00,N DALE ST,44.958,-93.126,25,County State Aid Highway,24,M,SAINT PAUL,551042729,,,,,Suspected Serious Injury,Yes,,,248,Unknown
-93.107,44.949,Pedestrian,2021/09/28 12:41:00+00,E 3RD ST,44.957,-93.035,25,Municipal State Aid Street,14,M,ST PAUL,55119,,,,,Possible Injury,No,,,249,Unknown
-93.139,44.959,Pedestrian,2021/05/08 03:50:00+00,ALLEY,44.967,-93.095,15,All other roads,31,M,SAINT PAUL,551175524,,,,,Possible Injury,No,,,250,Unknown
-93.011,44.967,Pedestrian,2022/04/21 00:37:00+00,E NEBRASKA AVE,44.987,-93.023,20,Local or City Street,36,M,SAINT PAUL,551194222,,,,,Suspected Minor Injury,Yes,,,251,Unknown
-93.061,44.959,Pedestrian,2019/11/15 22:49:00+00,W COTTAGE AVE,44.983,-93.106,30,Local or City Street,66,M,SAINT PAUL,551174341,,,,,Suspected Minor Injury,No,,,252,Unknown
-93.026,44.966,Pedestrian,2019/08/03 01:30:00+00,WILKIN ST,44.936,-93.106,30,Local or City Street,29,M,ST. PAUL,55116,,,,,Possible Injury,No,,,253,Unknown
-93.126,44.958,Pedestrian,2022/04/21 00:37:00+00,E NEBRASKA AVE,44.987,-93.023,20,Local or City Street,26,F,APPLE VALLEY,551248388,,,,,Suspected Minor Injury,Yes,,,254,Unknown
-93.035,44.957,Pedestrian,2019/08/03 00:54:00+00,W UNIVERSITY AVE,44.956,-93.158,,County State Aid Highway,63,M,SAINT PAUL,551021081,,,,,Suspected Minor Injury,Yes,,,255,Unknown
-93.095,44.967,Bike,2019/08/02 18:30:00+00,S LEXINGTON ST,44.927,-93.147,30,County State Aid Highway,,,,,,,,,,,Possible Injury,Yes,256,Unknown
-93.023,44.987,Bike,2019/08/02 11:25:00+00,123,44.967,-93.059,30,Local or City Street,,,,,50,M,SAINT PAUL,551304034,,,Suspected Minor Injury,No,257,Unknown
-93.106,44.983,Pedestrian,2019/07/30 13:26:00+00,E PHALEN BLVD,44.97,-93.049,30,Municipal State Aid Street,45,F,SAINT PAUL,551303233,,,,,,No,,,258,Unknown
-93.106,44.936,Pedestrian,2019/07/29 17:45:00+00,E MARYLAND AVE,44.978,-93.047,30,County State Aid Highway,25,F,SAINT PAUL,551175131,,,,,Possible Injury,Yes,,,259,Unknown
-93.023,44.987,Pedestrian,2019/07/27 15:50:00+00,W 7TH ST,44.929,-93.125,30,State Trunk Highway,46,M,SAINT PAUL,551046925,,,,,Possible Injury,Yes,,,260,Unknown
-93.158,44.956,Pedestrian,2019/07/27 22:35:00+00,N RICE ST,44.975,-93.106,30,County State Aid Highway,41,M,ST. PAUL,55117,,,,,,No,,,261,Unknown
-93.147,44.927,Bike,2019/07/26 21:24:00+00,SPRUCE TREE AVE,44.955,-93.167,25,Local or City Street,,,,,53,M,SAINT PAUL,551174319,,,,No,262,Unknown
-93.059,44.967,Pedestrian,2019/07/26 03:03:00+00,N PAYNE AVE,44.977,-93.074,30,Municipal State Aid Street,17,M,SAINT PAUL,55119,,,,,Suspected Minor Injury,Yes,,,263,Unknown
-93.049,44.97,Pedestrian,2019/07/26 02:12:00+00,N WHITE BEAR AVE,44.953,-93.025,30,County State Aid Highway,20,F,SAINT PAUL,551064027,,,,,Possible Injury,No,,,264,Unknown
-93.047,44.978,Bike,2019/07/24 22:05:00+00,W GRAND AVE,44.94,-93.139,30,Municipal State Aid Street,,,,,47,M,MARBLE HEAD,1945,,,Possible Injury,No,265,Unknown
-93.125,44.929,Pedestrian,2019/07/22 22:19:00+00,W COMO AVE,44.96,-93.109,30,County State Aid Highway,20,F,SAINT PAUL,551032359,,,,,Suspected Minor Injury,Yes,,,266,Unknown
-93.106,44.975,Bike,2019/07/22 14:30:00+00,W SAINT ANTHONY AVE,44.953,-93.177,5,Local or City Street,,,,,54,M,SAINT PAUL,551042681,,,Possible Injury,No,267,Unknown
-93.167,44.955,Pedestrian,2019/07/22 02:10:00+00,JACKSON ST,44.954,-93.095,30,Municipal State Aid Street,30,M,SAINT PAUL,55102,,,,,Suspected Minor Injury,Yes,,,268,Unknown
-93.074,44.977,Bike,2019/07/21 21:57:00+00,E 3RD ST,44.956,-93.069,30,Municipal State Aid Street,,,,,4,,ST. PAUL,55106,,,Possible Injury,Yes,269,Unknown
-93.025,44.953,Bike,2019/07/18 21:10:00+00,N ARONA ST,44.986,-93.164,30,Local or City Street,,,,,20,M,SAINT PAUL,551063226,,,,No,270,Unknown
-93.139,44.94,Pedestrian,2019/07/20 19:25:00+00,CESAR CHAVEZ  ST,44.93,-93.078,,Municipal State Aid Street,7,F,ST PAUL,55075,,,,,Suspected Minor Injury,No,,,271,Unknown
-93.109,44.96,Bike,2019/07/14 21:37:00+00,E CASE AVE,44.97,-93.071,30,Municipal State Aid Street,,,,,16,M,ST PAUL,55106,,,,No,272,Unknown
-93.177,44.953,Pedestrian,2019/07/10 22:41:00+00,E NEBRASKA AVE,44.987,-93.029,30,Local or City Street,3,F,ST PAUL,55130,,,,,Suspected Minor Injury,Yes,,,273,Unknown
-93.095,44.954,Pedestrian,2019/07/08 23:10:00+00,N CLARK ST,44.969,-93.083,30,Local or City Street,5,F,ST. PAUL,55106,,,,,Suspected Minor Injury,Yes,,,274,Unknown
